t,alt,asp,gsp,roll,pitch,yaw,p,q,r,navroll,navpitch,ail,elev,rud,thr,armed,mode
54.350,56.166,13.435961723327637,14.368950843811035,-35.81455453563625,11.963949741717448,85.40928209915086,-1.2489138568368774,6.165627131696143,-10.64503509034611,-46.40999984741211,7.799999713897705,1828,1291,1664,90,True,13
54.402,56.242,13.435961723327637,14.401629447937012,-36.05355993016792,11.886576505025898,84.6594775924452,-1.3764720151768024,6.237833330280579,-10.680173852304886,-47.23999786376953,7.940000057220459,1832,1290,1666,90,True,13
54.452,56.292,13.489194869995117,14.423967361450195,-36.217771338193366,11.833657906883932,84.15821683944714,-1.4593454751409176,6.281555505591946,-10.704199896484052,-47.22999954223633,7.940000057220459,1832,1289,1666,90,True,13
54.504,56.366,13.489194869995117,14.457172393798828,-36.46905399775814,11.753684929439546,83.40305063424302,-1.5751941279225021,6.353414645189181,-10.740056682079326,-48.04999923706055,8.09000015258789,1837,1288,1668,90,True,13
54.556,56.416,13.56336784362793,14.479126930236816,-36.64049857611463,11.69975460952677,82.89716584317685,-1.6634178671625586,6.389487008630134,-10.767866651058679,-48.03999710083008,8.09000015258789,1837,1287,1668,90,True,13
54.607,56.489,13.56336784362793,14.51030445098877,-36.90259001004094,11.617506325315123,82.13596175074643,-1.7682876311835822,6.445643116438686,-10.799678257118014,-48.849998474121094,8.25,1841,1286,1670,89,True,13
54.658,56.537,13.587779998779297,14.53030776977539,-37.08099796625626,11.560971142007634,81.62703069531045,-1.8383740165260813,6.47882716363437,-10.824683579669431,-48.849998474121094,8.25,1841,1285,1670,89,True,13
54.709,56.607,13.587779998779297,14.554534912109375,-37.35202328761695,11.474290918798296,80.86113426292023,-1.9278847128161563,6.507204038314835,-10.862330728600895,-49.62999725341797,8.300000190734863,1845,1284,1672,87,True,13
54.761,56.652,13.64962387084961,14.5689058303833,-37.534850376225265,11.414627508850941,80.34899984876351,-1.9858685365579216,6.529844407866134,-10.88662571147863,-49.619998931884766,8.300000190734863,1845,1284,1672,87,True,13
54.812,56.762,13.702709197998047,14.6019287109375,-37.9987192586121,11.25790198815583,79.06437786966751,-2.1097463968739736,6.5573068909714625,-10.958989858187623,-50.369998931884766,8.260000228881836,1849,1282,1674,87,True,13
54.862,56.762,13.702709197998047,14.6019287109375,-37.9987192586121,11.25790198815583,79.06437786966751,-2.1097463968739736,6.5573068909714625,-10.958989858187623,-50.369998931884766,8.260000228881836,1849,1282,1674,87,True,13
54.914,56.865,13.722038269042969,14.619946479797363,-38.46864993388731,11.088649900522913,77.7737453241019,-2.1828078632085424,6.566518254840871,-11.029475702874862,-51.099998474121094,8.359999656677246,1853,1280,1676,85,True,13
54.964,56.865,13.722038269042969,14.619946479797363,-38.46864993388731,11.088649900522913,77.7737453241019,-2.1828078632085424,6.566518254840871,-11.029475702874862,-51.099998474121094,8.359999656677246,1853,1280,1676,85,True,13
55.015,56.961,13.736421585083008,14.620457649230957,-38.93737166567944,10.906539128003802,76.47553126855757,-2.2241196220731294,6.559688919444505,-11.117695279968393,-51.79999923706055,8.359999656677246,1857,1278,1678,83,True,13
55.065,56.961,13.736421585083008,14.620457649230957,-38.93737166567944,10.906539128003802,76.47553126855757,-2.2241196220731294,6.559688919444505,-11.117695279968393,-51.79999923706055,8.359999656677246,1857,1278,1678,83,True,13
55.117,57.05,13.688207626342773,14.613085746765137,-39.40125420844461,10.710645887513252,75.16844479728141,-2.240924235308888,6.559591589248832,-11.222367928998837,-52.459999084472656,8.389999389648438,1861,1276,1680,82,True,13
55.167,57.05,13.688207626342773,14.613085746765137,-39.40125420844461,10.710645887513252,75.16844479728141,-2.240924235308888,6.559591589248832,-11.222367928998837,-52.459999084472656,8.389999389648438,1861,1276,1680,82,True,13
55.217,57.128,13.67623519897461,14.600038528442383,-39.86010973198065,10.500714900731031,73.85204194797734,-2.2374687999190965,6.595447521070461,-11.333893819087745,-53.099998474121094,8.59999942779541,1864,1273,1682,81,True,13
55.270,57.171,13.67623519897461,14.59205436706543,-40.13262744967499,10.369017754475784,73.05678253234525,-2.229180151917874,6.6433467839461136,-11.397584479324468,-53.71999740600586,8.889999389648438,1868,1270,1684,81,True,13
55.320,57.197,13.690191268920898,14.587533950805664,-40.31408508535472,10.278650082888285,72.5243351355969,-2.23086891619016,6.666894287996556,-11.446879662111742,-53.71999740600586,8.889999389648438,1868,1269,1684,81,True,13
55.372,57.234,13.690191268920898,14.580618858337402,-40.585533878443954,10.138971006814232,71.72280560630674,-2.227048279123184,6.717623383622709,-11.52214663921799,-54.32999801635742,9.309999465942383,1872,1265,1685,81,True,13
55.423,57.257,13.654637336730957,14.57579231262207,-40.76496636303477,10.044208108495829,71.18476428462814,-2.2296830245955164,6.7626505519523725,-11.571261675765905,-54.31999969482422,9.309999465942383,1872,1264,1686,81,True,13
55.475,57.289,13.654637336730957,14.570257186889648,-41.0337513823477,9.898461263117865,70.37437599998448,-2.229550476236936,6.835540196340633,-11.646730997226316,-54.91999816894531,9.800000190734863,1875,1259,1687,81,True,13
55.526,57.308,13.645683288574219,14.567670822143555,-41.21283894238543,9.799777836215874,69.83121886661756,-2.225285449987086,6.888166803895581,-11.696487217782567,-54.90999984741211,9.800000190734863,1876,1258,1688,81,True,13
55.576,57.333,13.645683288574219,14.564878463745117,-41.480988754105546,9.64859928290046,69.01254556251065,-2.228429257995996,6.986245759056025,-11.772282680775843,-55.5,10.369999885559082,1879,1253,1689,81,True,13
55.627,57.348,13.619905471801758,14.563353538513184,-41.65856342724213,9.546632242554985,68.46257190035206,-2.230755150851797,7.039277909092943,-11.818822736006664,-55.48999786376953,10.369999885559082,1880,1251,1690,81,True,13
55.679,57.366,13.619905471801758,14.56360912322998,-41.92432267275274,9.391245438937194,67.63325716151829,-2.2261456269356845,7.147351992330055,-11.891809283703774,-56.06999969482422,11.010000228881836,1883,1246,1691,81,True,13
55.730,57.376,13.621122360229492,14.565107345581055,-42.10151144020121,9.286725615389429,67.07689727248572,-2.2334449647243124,7.21489018350361,-11.94019092868956,-56.05999755859375,11.010000228881836,1883,1244,1691,81,True,13
55.781,57.387,13.621122360229492,14.569367408752441,-42.36691551587498,9.128104717199637,66.23739872159946,-2.237010750357882,7.341883036968011,-12.00856282982868,-56.62999725341797,11.729999542236328,1887,1238,1693,81,True,13
55.832,57.392,13.670910835266113,14.572823524475098,-42.54303194362376,9.021823558619653,65.6727947942387,-2.251153083921217,7.4254521090104095,-12.063194097905026,-56.619998931884766,11.729999542236328,1887,1236,1693,81,True,13
55.883,57.397,13.670910835266113,14.591185569763184,-42.807797396610134,8.861201415003048,64.82031205374022,-2.284088896429253,7.574840298989636,-12.135506164421598,-57.18000030517578,12.0,1890,1232,1695,87,True,13
55.935,57.398,13.719377517700195,14.6244535446167,-42.987264032146804,8.755788544221303,64.24516231430097,-2.356260517181016,7.753552198623019,-12.195785998941545,-57.16999816894531,12.0,1891,1231,1695,90,True,13
55.986,57.399,13.719377517700195,14.681785583496094,-43.26289631610267,8.599900575473164,63.37298130823619,-2.482681342302428,7.969420327341273,-12.268267112640075,-57.77000045776367,12.0,1894,1228,1697,90,True,13
56.037,57.398,13.711686134338379,14.71994400024414,-43.44971565028085,8.496757035043155,62.786240737775415,-2.5646064731889693,8.086241321584232,-12.300092379077748,-57.7599983215332,12.0,1894,1227,1697,90,True,13
56.090,57.395,13.711686134338379,14.777592658996582,-43.734551614143314,8.342442571125057,61.90055644772152,-2.667890032496963,8.244052842357377,-12.339394141335648,-58.37999725341797,12.0,1897,1225,1698,90,True,13
56.141,57.392,13.76876449584961,14.816291809082031,-43.92772985443878,8.240002540179558,61.30673297109144,-2.744662852871788,8.33388690541597,-12.358197652120694,-58.369998931884766,12.0,1898,1223,1699,90,True,13
56.193,57.386,13.76876449584961,14.878596305847168,-44.22762638542112,8.083595477054498,60.400114151231456,-2.862813386125372,8.485716888023475,-12.390428461040337,-58.96999740600586,12.0,1900,1221,1700,90,True,13
56.243,57.38,13.807348251342773,14.920534133911133,-44.42921600367946,7.979894422433487,59.80282776869218,-2.9313078037827296,8.568741252479565,-12.40263400908715,-58.959999084472656,12.0,1899,1219,1699,90,True,13
56.295,57.369,13.807348251342773,14.983369827270508,-44.73503772376678,7.825179538675298,58.90302547762387,-3.016996155458536,8.714791187501948,-12.40707533959495,-59.55999755859375,12.0,1900,1217,1700,90,True,13
56.347,57.361,13.86474895477295,15.025199890136719,-44.94069130458128,7.722084663343125,58.30065743434211,-3.0668601649376255,8.790391136330234,-12.414866877890644,-59.54999923706055,12.0,1900,1215,1700,90,True,13
56.397,57.346,13.86474895477295,15.090177536010742,-45.25226404394975,7.567539680540539,57.39416155788719,-3.142223191579077,8.930493684132829,-12.418153906428712,-60.12999725341797,12.0,1900,1213,1700,90,True,13
56.450,57.335,13.921249389648438,15.13398265838623,-45.46188596467203,7.464142569337593,56.78866870306014,-3.182499963340996,9.002598283653361,-12.415146915646613,-60.119998931884766,12.0,1900,1211,1700,90,True,13
56.501,57.316,13.921249389648438,15.19931697845459,-45.77757047792085,7.309689794088802,55.875974429933436,-3.2467097179546394,9.138866534010639,-12.415320231696803,-60.689998626708984,12.0,1900,1209,1700,90,True,13
56.553,57.302,14.048504829406738,15.242698669433594,-45.988613077990486,7.206968017840042,55.264904725649075,-3.2856908882083715,9.212941643106719,-12.416363543092523,-60.68000030517578,12.0,1900,1207,1700,90,True,13
56.605,57.279,14.048504829406738,15.309328079223633,-46.306582289516676,7.053296018590748,54.344646018016576,-3.343789117618735,9.349321737811657,-12.412840873028088,-61.22999954223633,12.0,1900,1205,1700,90,True,13
56.655,57.262,14.125593185424805,15.35403060913086,-46.5195646633106,6.950560581963647,53.72946795494645,-3.381845010683342,9.421887375101164,-12.41071753796986,-61.22999954223633,12.0,1900,1203,1700,90,True,13
56.707,57.236,14.125593185424805,15.420576095581055,-46.83962732781739,6.797091780842162,52.801993152455836,-3.4402217837457947,9.557895224496336,-12.408994622751724,-61.77000045776367,12.0,1900,1201,1700,90,True,13
56.760,57.216,14.19060230255127,15.464694023132324,-47.053340531852506,6.694993686241988,52.18080793801069,-3.4754352508986184,9.630484767447939,-12.40855834441849,-61.7599983215332,12.0,1899,1199,1699,90,True,13
56.811,57.185,14.19060230255127,15.531943321228027,-47.374236479438046,6.542102889879015,51.24537255004242,-3.52068760202748,9.753761144230207,-12.404759905466317,-62.28999710083008,12.0,1900,1197,1700,90,True,13
56.863,57.162,14.29928970336914,15.576857566833496,-47.589151796767084,6.439736710353918,50.61971356169091,-3.562125505948301,9.83529055103171,-12.406606617863158,-62.279998779296875,12.0,1899,1195,1699,90,True,13
56.914,57.1,14.369775772094727,15.688202857971191,-48.12725800524278,6.184523276921806,49.04500320326071,-3.648852259821361,10.042880490475907,-12.403559499719687,-62.78999710083008,12.0,1900,1191,1700,90,True,13
56.965,57.1,14.369775772094727,15.688202857971191,-48.12725800524278,6.184523276921806,49.04500320326071,-3.648852259821361,10.042880490475907,-12.403559499719687,-62.78999710083008,12.0,1900,1191,1700,90,True,13
57.017,57.032,14.51612663269043,15.794486045837402,-48.66438749666717,5.930622093583984,47.452469466191374,-3.734886176380488,10.250881095043951,-12.406154971604291,-63.279998779296875,12.0,1899,1187,1699,90,True,13
57.068,57.032,14.51612663269043,15.794486045837402,-48.66438749666717,5.930622093583984,47.452469466191374,-3.734886176380488,10.250881095043951,-12.406154971604291,-63.279998779296875,12.0,1899,1187,1699,90,True,13
57.119,56.958,14.640000343322754,15.898812294006348,-49.199143497354974,5.678238492902373,45.840688256040934,-3.8219625505616883,10.457930595770073,-12.40285940532976,-63.7599983215332,12.0,1899,1183,1699,90,True,13
57.169,56.958,14.640000343322754,15.898812294006348,-49.199143497354974,5.678238492902373,45.840688256040934,-3.8219625505616883,10.457930595770073,-12.40285940532976,-63.7599983215332,12.0,1899,1183,1699,90,True,13
57.220,56.877,14.696398735046387,16.000608444213867,-49.734254667879625,5.426125538466624,44.212664856044206,-3.908627405845395,10.669149926984485,-12.408017905700413,-64.20999908447266,12.0,1899,1180,1699,90,True,13
57.271,56.877,14.696398735046387,16.000608444213867,-49.734254667879625,5.426125538466624,44.212664856044206,-3.908627405845395,10.669149926984485,-12.408017905700413,-64.20999908447266,12.0,1899,1180,1699,90,True,13
57.323,56.786,14.840944290161133,16.10210609436035,-50.27012057430756,5.172849317437858,42.57060883239768,-3.991916440131823,10.866503120410126,-12.40070704196756,-64.6500015258789,12.0,1899,1176,1699,90,True,13
57.374,56.728,14.840944290161133,16.1627254486084,-50.59387154096617,5.019747212097437,41.58050119521805,-4.039759780833647,10.99165267657227,-12.395911395396565,-64.75,12.0,1899,1174,1699,90,True,13
57.426,56.687,14.924790382385254,16.20220375061035,-50.80857512243093,4.917632468911161,40.91628578900182,-4.070360735862597,11.064715210123897,-12.397215961528037,-64.76000213623047,12.0,1899,1172,1699,90,True,13
57.478,56.622,14.924790382385254,16.262126922607422,-51.1323807306029,4.763992486173602,39.916728585105474,-4.122847324539559,11.211415720664723,-12.39417225847915,-64.7699966430664,12.0,1898,1170,1699,90,True,13
57.529,56.577,15.040940284729004,16.302549362182617,-51.34913336881866,4.66079515800388,39.24848678237352,-4.148637265071881,11.281925471014057,-12.393392763140122,-64.77999877929688,12.0,1898,1168,1699,90,True,13
57.580,56.508,15.040940284729004,16.362869262695312,-51.674988033741634,4.505155637386799,38.24301804975053,-4.189000694858895,11.411609419011443,-12.389707876082902,-64.79000091552734,12.0,1897,1166,1698,90,True,13
57.632,56.46,15.175159454345703,16.402427673339844,-51.8910132568108,4.4009423185780365,37.56939747304719,-4.213611573985743,11.484698419546103,-12.386498540946642,-64.79999542236328,12.0,1897,1164,1698,90,True,13
57.684,56.385,15.175159454345703,16.462505340576172,-52.21570678957487,4.244095562025156,36.556203796472914,-4.247916625978955,11.613491027856801,-12.374661823115009,-64.81999969482422,12.0,1896,1162,1698,90,True,13
57.736,56.333,15.276185989379883,16.503034591674805,-52.432339899480155,4.138643417655683,35.879239842170854,-4.264237789887524,11.68584492928204,-12.370854846426374,-64.83000183105469,12.0,1896,1160,1698,90,True,13
